player_a;player_b;score_ab;score_ba;avg_raw;normalised
Maiken world_cup_2026;Tone Vevatne - World Cup Competition 2026;1758;1758;1758.0;0.879
Maiken world_cup_2026;World_cup_2026_Daniel_Naurin;1723;1723;1723.0;0.8615
Gates_World_cup_2026;Maiken world_cup_2026;1675;1675;1675.0;0.8375
Maiken world_cup_2026;World_cup_2026_Dagfinn;1603;1603;1603.0;0.8015
Maiken world_cup_2026;World_cup_2026_JonasSchmid;1597;1597;1597.0;0.7985
World_cup_2026_JonasSchmid;World_cup_2026_MIRO;1593;1593;1593.0;0.7965
IWB_World_cup_2026;Maiken world_cup_2026;1592;1592;1592.0;0.796
Copy of World_cup_2026.TomC;Maiken world_cup_2026;1588;1588;1588.0;0.794
Sandven_World_cup_2026;World_cup_2026_JonasSchmid;1587;1587;1587.0;0.7935
Gates_World_cup_2026;Tone Vevatne - World Cup Competition 2026;1583;1583;1583.0;0.7915
Tone Vevatne - World Cup Competition 2026;World_cup_2026_Daniel_Naurin;1576;1576;1576.0;0.788
Kolltveit-World_cup_2026;Maiken world_cup_2026;1575;1575;1575.0;0.7875
Gates_World_cup_2026;World_cup_2026_Daniel_Naurin;1567;1567;1567.0;0.7835
Tone Vevatne - World Cup Competition 2026;World_cup_2026_Dagfinn;1561;1561;1561.0;0.7805
Maiken world_cup_2026;World_cup_2026_lutscher;1541;1541;1541.0;0.7705
Gates_World_cup_2026;World_cup_2026_StineHesstvedt_1106;1537;1537;1537.0;0.7685
Maiken world_cup_2026;World_cup_2026_StineHesstvedt_1106;1536;1536;1536.0;0.768
Kopi av World_cup_2026-Elin Arntzen;World_cup_2026_MIRO;1534;1534;1534.0;0.767
Copy of World_cup_2026.TomC;World_cup_2026_anna;1532;1532;1532.0;0.766
IWB_World_cup_2026;World_cup_2026_Daniel_Naurin;1532;1532;1532.0;0.766
Kopi av World_cup_2026-Elin Arntzen;Sandven_World_cup_2026;1530;1530;1530.0;0.765
Sandven_World_cup_2026;World_cup_2026_MIRO;1529;1529;1529.0;0.7645
Kolltveit-World_cup_2026;Tone Vevatne - World Cup Competition 2026;1525;1525;1525.0;0.7625
World_cup_2026_MIRO;World_cup_2026_stiansen;1525;1525;1525.0;0.7625
World_cup_2026_goldstein;world_cup_2026_hs;1524;1524;1524.0;0.762
Tone Vevatne - World Cup Competition 2026;World_cup_2026_lutscher;1522;1522;1522.0;0.761
Copy of World_cup_2026.TomC;Kolltveit-World_cup_2026;1515;1515;1515.0;0.7575
Maiken world_cup_2026;World_cup_2026_anna;1515;1515;1515.0;0.7575
Maiken world_cup_2026;Sandven_World_cup_2026;1504;1504;1504.0;0.752
World_cup_2026_JonasSchmid;World_cup_2026_stiansen;1493;1493;1493.0;0.7465
Gates_World_cup_2026;IWB_World_cup_2026;1491;1491;1491.0;0.7455
World_cup_2026_Daniel_Naurin;world_cup_2026_hs;1489;1489;1489.0;0.7445
Kopi av World_cup_2026-Elin Arntzen;World_cup_2026_JonasSchmid;1480;1480;1480.0;0.74
World_cup_2026_Daniel_Naurin;World_cup_2026_lutscher;1479;1479;1479.0;0.7395
Copy of World_cup_2026.TomC;Tone Vevatne - World Cup Competition 2026;1476;1476;1476.0;0.738
Maiken world_cup_2026;world_cup_2026_hs;1475;1475;1475.0;0.7375
Kolltveit-World_cup_2026;World_cup_2026_Daniel_Naurin;1466;1466;1466.0;0.733
Gates_World_cup_2026;World_cup_2026_lutscher;1465;1465;1465.0;0.7325
IWB_World_cup_2026;World_cup_2026_lutscher;1464;1464;1464.0;0.732
World_cup_2026_Dagfinn;World_cup_2026_Daniel_Naurin;1464;1464;1464.0;0.732
Tone Vevatne - World Cup Competition 2026;World_cup_2026_JonasSchmid;1463;1463;1463.0;0.7315
Maiken world_cup_2026;World_cup_2026_Karin;1459;1459;1459.0;0.7295
Gates_World_cup_2026;World_cup_2026_Dagfinn;1455;1455;1455.0;0.7275
World_cup_2026_StineHesstvedt_1106;World_cup_2026_anna;1455;1455;1455.0;0.7275
Kopi av World_cup_2026-Elin Arntzen;World_cup_2026_stiansen;1453;1453;1453.0;0.7265
Gates_World_cup_2026;World_cup_2026_JonasSchmid;1440;1440;1440.0;0.72
Tone Vevatne - World Cup Competition 2026;World_cup_2026_MIRO;1440;1440;1440.0;0.72
World_cup_2026_Daniel_Naurin;World_cup_2026_JonasSchmid;1437;1437;1437.0;0.7185
